Offer                                        Publisher    Sku                           Urn                                                                                          Version
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202107200                        18.04.202107200
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.20200423                              20.04.20200423
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.20200525                              20.04.20200525
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.20200729                              20.04.20200729
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.20200908                              20.04.20200908
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.20201014                              20.04.20201014
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.202102230                             20.04.202102230
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.202103160                             20.04.202103160
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.202103250                             20.04.202103250
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.202104150                             20.04.202104150
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.202105180                             20.04.202105180
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.202106230                             20.04.202106230
0001-com-ubuntu-pro-advanced-sla             Canonical    20_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:20_04:20.04.202107200                             20.04.202107200
